GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_002812485.1	5709018	GCF_002812485.1	5717018	
GCA_001742185.1	3465018	GCF_001742185.1	3465978	
GCA_012427845.1	18819628	GCF_012427845.1	18912168	
GCA_002291445.1	4998428	GCF_002291445.1	5014058	
GCA_020181655.1	29142678	GCF_020181655.1	29208148	
GCA_007858975.2	15549428	GCF_007858975.2	15577298	
GCA_017569925.1	25777158	GCF_017569925.1	25799728	
GCA_005484965.1	10101708	GCF_005484965.1	10198378	
GCA_900095885.1	8959478	GCF_900095885.1	20511488	
GCA_003382565.3	30054428	GCF_003382565.3	30084908	
GCA_013488025.1	20498598	GCF_013488025.1	20674658	
GCA_009873295.1	15793338	GCF_009873295.1	15836038	
GCA_000740965.1	1189148	GCF_000740965.1	1502608	
GCA_000147055.1	169828	GCF_000147055.1	265548	
GCA_003992745.1	8188628	GCF_003992745.1	8193408	
GCA_002846995.1	5800198	GCF_002846995.1	5813408	
GCA_002887555.1	5894238	GCF_002887555.1	5917238	
GCA_009931295.1	15952818	GCF_009931295.1	16069488	
GCA_002288545.1	4994588	GCF_002288545.1	4995788	
GCA_003403135.1	7103238	GCF_003403135.1	7131878	
GCA_000023565.1	24368	GCF_000023565.1	44228	
GCA_020971565.1	30279318	GCF_020971565.1	30307278	
GCA_000023545.1	24348	GCF_000023545.1	44208	
GCA_000025065.1	25868	GCF_000025065.1	106188	
GCA_014946825.2	33585008	GCF_014946825.2	33601988	
GCA_003515985.1	7366278	GCF_003515985.1	7422528	
GCA_003571485.1	7449808	GCF_003571485.1	7457328	
GCA_005497185.1	10114128	GCF_005497185.1	10198798	
GCA_009372235.1	15153568	GCF_009372235.1	15173558	
GCA_900107885.1	3640858	GCF_900107885.1	3910558	
GCA_003315515.1	6829958	GCF_003315515.1	6907158	
GCA_004137795.1	8716318	GCF_004137795.1	8734708	
GCA_003049785.1	6373108	GCF_003049785.1	6403128	
GCA_001742145.1	3464978	GCF_001742145.1	3465998	
GCA_001644705.1	3242868	GCF_001644705.1	3286338	
GCA_002307355.1	5018698	GCF_002307355.1	5022408	
GCA_014946775.2	33584978	GCF_014946775.2	33602388	
GCA_021049225.1	30411578	GCF_021049225.1	30446578	
GCA_020520265.1	29646308	GCF_020520265.1	29658078	
GCA_016864995.1	24970608	GCF_016864995.1	24991508	
GCA_022392805.1	32009628	GCF_022392805.1	32021308	
GCA_028736315.1	40923618	GCF_028736315.1	40940368	
GCA_009931215.1	15952738	GCF_009931215.1	16066228	
GCA_009931195.1	15952718	GCF_009931195.1	16056008	
GCA_016944555.1	25092988	GCF_016944555.1	25214458	
GCA_016944275.1	25092668	GCF_016944275.1	25176678	
GCA_016944595.1	25093008	GCF_016944595.1	25214478	
GCA_016944435.1	25092878	GCF_016944435.1	25177598	
GCA_016944295.1	25092688	GCF_016944295.1	25214418	
GCA_016944615.1	25093028	GCF_016944615.1	25177618	
GCA_003990515.2	23486058	GCF_003990515.2	23495098	
GCA_016944235.1	25092628	GCF_016944235.1	25177548	
GCA_022220705.1	31806838	GCF_022220705.1	31844788	
GCA_002068115.1	4291428	GCF_002068115.1	4306188	
GCA_002764035.1	5636578	GCF_002764035.1	5650218	
GCA_001932635.1	3936018	GCF_001932635.1	3949148	
GCA_020423105.1	29445668	GCF_020423105.1	29581448	
GCA_016944315.1	25092788	GCF_016944315.1	25214438	
GCA_016944255.1	25092648	GCF_016944255.1	25178398	
GCA_020683105.1	29885958	GCF_020683105.1	29890938	
GCA_016864975.1	24970588	GCF_016864975.1	24990948	
GCA_000696465.1	1086688	GCF_000696465.1	1637698	
GCA_002804265.1	5697488	GCF_002804265.1	5711198	
GCA_018634035.1	27098918	GCF_018634035.1	27193228	
GCA_000011605.1	12408	GCF_000011605.1	32728	
GCA_025643375.1	36617098	GCF_025643375.1	36661688	
GCA_018904205.1	27412968	GCF_018904205.1	27458718	
