,Genome,Genus,Species
0,GCF_003628695.1,Pectobacterium,parmentieri
1,GCF_007833835.1,Pectobacterium,actinidiae
2,GCF_001401695.1,Dickeya,solani
3,GCF_002921195.1,Dickeya,solani
4,GCF_016404945.1,Dickeya,solani
5,GCF_000406085.2,Dickeya,aquatica
6,GCF_000365345.1,Dickeya,solani
7,GCF_003031305.1,Pectobacterium,carotovorum
8,GCF_003628595.1,Pectobacterium,parmentieri
9,GCF_016949275.1,Pectobacterium,brasiliense
10,GCF_000808255.1,Pectobacterium,brasiliense
11,GCF_002920045.2,Pectobacterium,parmentieri
12,GCF_002288545.1,Pectobacterium,polaris
13,GCF_000400565.1,Dickeya,solani
14,GCF_016944255.1,Pectobacterium,brasiliense
15,GCF_002250215.1,Pectobacterium,brasiliense
16,GCF_001984535.1,Pectobacterium,actinidiae
17,GCF_018361185.1,Dickeya,dianthicola
18,GCF_014946825.1,Pectobacterium,aquaticum
19,GCF_016944315.1,Pectobacterium,brasiliense
20,GCF_000769535.1,Pectobacterium,carotovorum
21,GCF_016949695.1,Pectobacterium,polaris
22,GCF_014946835.1,Pectobacterium,aquaticum
23,GCF_016949875.1,Pectobacterium,brasiliense
24,GCF_013334185.1,Dickeya,solani
25,GCF_016949235.1,Pectobacterium,brasiliense
26,GCF_000430955.1,Dickeya,dianthicola
27,GCF_002921235.2,Pectobacterium,carotovorum
28,GCF_018634035.1,Pectobacterium,atrosepticum
29,GCF_013449715.1,Pectobacterium,aroidearum
30,GCF_002887555.1,Dickeya,zeae
31,GCF_000406285.1,Dickeya,aquatica
32,GCF_016949705.1,Pectobacterium,brasiliense
33,GCF_000808315.1,Pectobacterium,brasiliense
34,GCF_002921275.1,Pectobacterium,carotovorum
35,GCF_013334145.1,Dickeya,solani
36,GCF_000808455.1,Pectobacterium,brasiliense
37,GCF_009873295.1,Pectobacterium,brasiliense
38,GCF_016949885.1,Pectobacterium,brasiliense
39,GCF_007210685.1,Dickeya,chrysanthemi
40,GCF_003668715.1,Hafnia,alvei
41,GCF_002921285.1,Pectobacterium,carotovorum
42,GCF_003628635.1,Pectobacterium,parmentieri
43,GCF_009372235.1,Dickeya,oryzae
44,GCF_016949855.1,Pectobacterium,brasiliense
45,GCF_003600975.1,Dickeya,solani
46,GCF_000011605.1,Pectobacterium,atrosepticum
47,GCF_000406145.1,Dickeya,dadantii
48,GCF_009931195.1,Pectobacterium,carotovorum
49,GCF_000808385.1,Pectobacterium,brasiliense
50,GCF_016949525.1,Pectobacterium,brasiliense
51,GCF_018361205.1,Dickeya,dianthicola
52,GCF_016949355.1,Pectobacterium,brasiliense
53,GCF_000808415.1,Pectobacterium,polaris
54,GCF_016949375.1,Pectobacterium,brasiliense
55,GCF_016949055.1,Pectobacterium,brasiliense A
56,GCF_016949085.1,Pectobacterium,aquaticum
57,GCF_002904085.1,Pectobacterium,carotovorum
58,GCF_014854755.1,Dickeya,fangzhongdai
59,GCF_002904255.1,Pectobacterium,carotovorum
60,GCF_016944275.1,Pectobacterium,brasiliense
61,GCF_018904205.1,Dickeya,dadantii
62,GCF_002906725.1,Dickeya,dianthicola
63,GCF_002983505.1,Pectobacterium,carotovorum
64,GCF_017656535.1,Dickeya,fangzhongdai
65,GCF_004137785.1,Pectobacterium,zantedeschiae
66,GCF_017255075.1,Pectobacterium,brasiliense
67,GCF_000808355.1,Pectobacterium,brasiliense
68,GCF_000406165.1,Dickeya,zeae
69,GCF_004137795.1,Pectobacterium,zantedeschiae
70,GCF_000406185.1,Dickeya,dadantii
71,GCF_016949195.1,Pectobacterium,brasiliense
72,GCF_016949035.1,Pectobacterium,carotovorum
73,GCF_004296675.1,Pectobacterium,carotovorum
74,GCF_003628015.1,Pectobacterium,parmentieri
75,GCF_016950125.1,Pectobacterium,brasiliense
76,GCF_016944555.1,Pectobacterium,brasiliense
77,GCF_002904225.1,Pectobacterium,carotovorum
78,GCF_016949915.1,Pectobacterium,brasiliense
79,GCF_013449475.1,Pectobacterium,brasiliense
80,GCF_016864995.1,Pectobacterium,carotovorum
81,GCF_014946805.1,Pectobacterium,aquaticum
82,GCF_003049785.1,Dickeya,dadantii
83,GCF_016126895.1,Pectobacterium,parmentieri
84,GCF_000260925.1,Pectobacterium,parmentieri
85,GCF_003990515.2,Pectobacterium,brasiliense
86,GCF_000808145.1,Pectobacterium,brasiliense
87,GCF_003600995.1,Dickeya,solani
88,GCF_016864975.1,Pectobacterium,brasiliense
89,GCF_016949315.1,Pectobacterium,brasiliense
90,GCF_012278555.1,Dickeya,zeae
91,GCF_002904185.1,Pectobacterium,carotovorum
92,GCF_000365305.1,Dickeya,dianthicola
93,GCF_001187965.2,Dickeya,fangzhongdai
94,GCF_000757625.1,Pectobacterium,parmentieri
95,GCF_003628575.1,Pectobacterium,parmentieri
96,GCF_016949255.1,Pectobacterium,brasiliense
97,GCF_018361045.1,Dickeya,dianthicola
98,GCF_015689195.1,Pectobacterium,aroidearum
99,GCF_000740965.1,Pectobacterium,atrosepticum
100,GCF_900129615.1,Pectobacterium,carotovorum
101,GCF_016944235.1,Pectobacterium,brasiliense
102,GCF_014642955.1,Dickeya,fangzhongdai
103,GCF_000025065.1,Dickeya,zeae
104,GCF_000406105.1,Dickeya,chrysanthemi
105,GCF_003382565.2,Pectobacterium,aquaticum
106,GCF_003718335.1,Dickeya,solani
107,GCF_016404925.1,Dickeya,solani
108,GCF_002904005.1,Pectobacterium,carotovorum
109,GCF_013449485.1,Pectobacterium,brasiliense
110,GCF_013449375.1,Pectobacterium,sp013449375
111,GCF_016949655.1,Pectobacterium,brasiliense
112,GCF_009931295.1,Pectobacterium,carotovorum
113,GCF_014946865.1,Pectobacterium,aquaticum
114,GCF_001984525.1,Pectobacterium,actinidiae
115,GCF_003628675.1,Pectobacterium,parmentieri
116,GCF_001742145.1,Pectobacterium,parmentieri
117,GCF_004296765.1,Pectobacterium,carotovorum
118,GCF_000406065.1,Dickeya,chrysanthemi
119,GCF_016949155.1,Pectobacterium,brasiliense
120,GCF_016949145.1,Pectobacterium,brasiliense
121,GCF_003382645.2,Pectobacterium,aquaticum
122,GCF_000808115.1,Pectobacterium,brasiliense
123,GCF_018361105.1,Dickeya,dianthicola
124,GCF_013449685.1,Pectobacterium,brasiliense A
125,GCF_003382625.2,Pectobacterium,aquaticum
126,GCF_004137815.1,Pectobacterium,zantedeschiae
127,GCF_014946845.1,Pectobacterium,aquaticum
128,GCF_016949295.1,Pectobacterium,brasiliense
129,GCF_016949735.1,Pectobacterium,brasiliense
