,Genome,Genus,Species
0,GCF_015277635.1,Pectobacterium,aroidearum
1,GCF_016944315.1,Pectobacterium,brasiliense
2,GCF_007210685.1,Dickeya,chrysanthemi
3,GCF_016404925.1,Dickeya,solani
4,GCF_000831935.2,Dickeya,solani
5,GCF_002920045.2,Pectobacterium,parmentieri
6,GCF_016949595.1,Pectobacterium,brasiliense
7,GCF_016944555.1,Pectobacterium,brasiliense
8,GCF_000808515.1,Pectobacterium,carotovorum
9,GCF_000406285.1,Dickeya,aquatica
10,GCF_000808255.1,Pectobacterium,brasiliense
11,GCF_003628695.1,Pectobacterium,parmentieri
12,GCF_018361065.1,Dickeya,dianthicola
13,GCF_000260925.1,Pectobacterium,parmentieri
14,GCF_000406305.1,Dickeya,fangzhongdai
15,GCF_013449415.1,Pectobacterium,carotovorum
16,GCF_016949295.1,Pectobacterium,brasiliense
17,GCF_000023605.1,Pectobacterium,aroidearum
18,GCF_016864975.1,Pectobacterium,brasiliense
19,GCF_016415585.1,Pectobacterium,carotovorum
20,GCF_000406105.1,Dickeya,chrysanthemi
21,GCF_003571485.1,Pectobacterium,carotovorum
22,GCF_002812485.1,Dickeya,fangzhongdai
23,GCF_016949695.1,Pectobacterium,polaris
24,GCF_000757625.1,Pectobacterium,parmentieri
25,GCF_002904085.1,Pectobacterium,carotovorum
26,GCF_003628615.1,Pectobacterium,parmentieri
27,GCF_003628635.1,Pectobacterium,parmentieri
28,GCF_009372235.1,Dickeya,oryzae
29,GCF_003402555.1,Pectobacterium,carotovorum
30,GCF_002921285.1,Pectobacterium,carotovorum
31,GCF_002904005.1,Pectobacterium,carotovorum
32,GCF_013334145.1,Dickeya,solani
33,GCF_000400565.1,Dickeya,solani
34,GCF_000400505.1,Dickeya,paradisiaca
35,GCF_000816045.1,Dickeya,oryzae
36,GCF_900095885.1,Dickeya,aquatica
37,GCF_002921195.1,Dickeya,solani
38,GCF_000365285.1,Dickeya,solani
39,GCF_016944615.1,Pectobacterium,brasiliense
40,GCF_002904195.1,Pectobacterium,carotovorum
41,GCF_002904145.1,Pectobacterium,carotovorum
42,GCF_009931295.1,Pectobacterium,carotovorum
43,GCF_013449375.1,Pectobacterium,sp013449375
44,GCF_000365365.1,Dickeya,dianthicola
45,GCF_003312355.1,Pectobacterium,peruviense
46,GCF_018361205.1,Dickeya,dianthicola
47,GCF_003403135.1,Dickeya,dianthicola
48,GCF_016944435.1,Pectobacterium,brasiliense
49,GCF_000808115.1,Pectobacterium,brasiliense
50,GCF_018219365.1,Pectobacterium,carotovorum
51,GCF_000738105.1,Pectobacterium,brasiliense
52,GCF_002904045.1,Pectobacterium,carotovorum
53,GCF_014946845.1,Pectobacterium,aquaticum
54,GCF_007858975.2,Dickeya,poaceiphila
55,GCF_014642955.1,Dickeya,fangzhongdai
56,GCF_001932635.1,Pectobacterium,brasiliense
57,GCF_000975305.1,Dickeya,dianthicola
58,GCF_015689195.1,Pectobacterium,aroidearum
59,GCF_018628895.1,Dickeya,dianthicola
60,GCF_009931195.1,Pectobacterium,carotovorum
61,GCF_016949335.1,Pectobacterium,brasiliense
62,GCF_016404895.1,Dickeya,solani
63,GCF_016949775.1,Pectobacterium,brasiliense
64,GCF_001984525.1,Pectobacterium,actinidiae
65,GCF_000808355.1,Pectobacterium,brasiliense
66,GCF_013449475.1,Pectobacterium,brasiliense
67,GCF_004296685.1,Pectobacterium,carotovorum
68,GCF_000769535.1,Pectobacterium,carotovorum
69,GCF_004137785.1,Pectobacterium,zantedeschiae
70,GCF_016950225.1,Pectobacterium,brasiliense
71,GCF_001401695.1,Dickeya,solani
72,GCF_000758345.1,Dickeya,fangzhongdai
73,GCF_003668715.1,Hafnia,alvei
74,GCF_016949855.1,Pectobacterium,brasiliense
75,GCF_007833835.1,Pectobacterium,actinidiae
76,GCF_004296715.1,Pectobacterium,carotovorum
77,GCF_016944235.1,Pectobacterium,brasiliense
78,GCF_016950275.1,Pectobacterium,parmentieri
79,GCF_017656535.1,Dickeya,fangzhongdai
80,GCF_001984535.1,Pectobacterium,actinidiae
81,GCF_000406145.1,Dickeya,dadantii
82,GCF_016126895.1,Pectobacterium,parmentieri
83,GCF_013449675.1,Pectobacterium,carotovorum
84,GCF_000738115.1,Pectobacterium,brasiliense
85,GCF_000808195.1,Pectobacterium,brasiliense
86,GCF_013449715.1,Pectobacterium,aroidearum
87,GCF_016949085.1,Pectobacterium,aquaticum
88,GCF_002307355.1,Pectobacterium,polaris
89,GCF_009931215.1,Pectobacterium,carotovorum
90,GCF_000406165.1,Dickeya,zeae
91,GCF_013449535.1,Pectobacterium,brasiliense
92,GCF_018361085.1,Dickeya,dianthicola
93,GCF_013488025.1,Pectobacterium,carotovorum
