,group1,group2,meandiff,p-adj,lower,upper,reject
0,Acerihabitans,Affinibrenneria,0.0,1.0,-14.1792,14.1792,False
1,Acerihabitans,Brenneria,5.6667,0.6921,-4.5103,15.8437,False
2,Acerihabitans,Dickeya,11.0485,0.0197,0.998,21.0991,True
3,Acerihabitans,Lonsdalea,-5.3846,0.743,-15.5386,4.7693,False
4,Acerihabitans,Musicola,2.25,0.9987,-8.9597,13.4597,False
5,Acerihabitans,Pectobacterium,14.0787,0.0006,4.0409,24.1165,True
6,Acerihabitans,Samsonia,1.0,1.0,-13.1792,15.1792,False
7,Affinibrenneria,Brenneria,5.6667,0.6921,-4.5103,15.8437,False
8,Affinibrenneria,Dickeya,11.0485,0.0197,0.998,21.0991,True
9,Affinibrenneria,Lonsdalea,-5.3846,0.743,-15.5386,4.7693,False
10,Affinibrenneria,Musicola,2.25,0.9987,-8.9597,13.4597,False
11,Affinibrenneria,Pectobacterium,14.0787,0.0006,4.0409,24.1165,True
12,Affinibrenneria,Samsonia,1.0,1.0,-13.1792,15.1792,False
13,Brenneria,Dickeya,5.3819,0.0,3.5019,7.2618,True
14,Brenneria,Lonsdalea,-11.0513,0.0,-13.4227,-8.6798,True
15,Brenneria,Musicola,-3.4167,0.5122,-8.7249,1.8916,False
16,Brenneria,Pectobacterium,8.412,0.0,6.6013,10.2228,True
17,Brenneria,Samsonia,-4.6667,0.86,-14.8437,5.5103,False
18,Dickeya,Lonsdalea,-16.4332,0.0,-18.184,-14.6823,True
19,Dickeya,Musicola,-8.7985,0.0,-13.8601,-3.737,True
20,Dickeya,Pectobacterium,3.0302,0.0,2.1812,3.8791,True
21,Dickeya,Samsonia,-10.0485,0.0501,-20.0991,0.002,False
22,Lonsdalea,Musicola,7.6346,0.0003,2.3707,12.8985,True
23,Lonsdalea,Pectobacterium,19.4633,0.0,17.7869,21.1397,True
24,Lonsdalea,Samsonia,6.3846,0.5434,-3.7693,16.5386,False
25,Musicola,Pectobacterium,11.8287,0.0,6.7924,16.865,True
26,Musicola,Samsonia,-1.25,1.0,-12.4597,9.9597,False
27,Pectobacterium,Samsonia,-13.0787,0.0021,-23.1165,-3.0409,True
