,group1,group2,meandiff,p-adj,lower,upper,reject
0,Acerihabitans,Affinibrenneria,2.0,1.0,-30.0935,34.0935,False
1,Acerihabitans,Brenneria,-18.2121,0.2411,-41.2469,4.8227,False
2,Acerihabitans,Dickeya,5.1602,0.9973,-17.5883,27.9087,False
3,Acerihabitans,Lonsdalea,-28.8462,0.0037,-51.8288,-5.8635,True
4,Acerihabitans,Musicola,-13.75,0.7211,-39.1221,11.6221,False
5,Acerihabitans,Pectobacterium,6.6458,0.987,-16.0739,29.3656,False
6,Acerihabitans,Samsonia,-25.0,0.2588,-57.0935,7.0935,False
7,Affinibrenneria,Brenneria,-20.2121,0.1344,-43.2469,2.8227,False
8,Affinibrenneria,Dickeya,3.1602,0.9999,-19.5883,25.9087,False
9,Affinibrenneria,Lonsdalea,-30.8462,0.0013,-53.8288,-7.8635,True
10,Affinibrenneria,Musicola,-15.75,0.5603,-41.1221,9.6221,False
11,Affinibrenneria,Pectobacterium,4.6458,0.9986,-18.0739,27.3656,False
12,Affinibrenneria,Samsonia,-27.0,0.1735,-59.0935,5.0935,False
13,Brenneria,Dickeya,23.3723,0.0,19.1172,27.6274,True
14,Brenneria,Lonsdalea,-10.634,0.0,-16.0016,-5.2664,True
15,Brenneria,Musicola,4.4621,0.9504,-7.5527,16.4769,False
16,Brenneria,Pectobacterium,24.858,0.0,20.7594,28.9565,True
17,Brenneria,Samsonia,-6.7879,0.9864,-29.8227,16.2469,False
18,Dickeya,Lonsdalea,-34.0063,0.0,-37.9693,-30.0434,True
19,Dickeya,Musicola,-18.9102,0.0,-30.3666,-7.4538,True
20,Dickeya,Pectobacterium,1.4856,0.2679,-0.4358,3.4071,False
21,Dickeya,Samsonia,-30.1602,0.0016,-52.9087,-7.4117,True
22,Lonsdalea,Musicola,15.0962,0.0032,3.1817,27.0106,True
23,Lonsdalea,Pectobacterium,35.492,0.0,31.6976,39.2863,True
24,Lonsdalea,Samsonia,3.8462,0.9996,-19.1365,26.8288,False
25,Musicola,Pectobacterium,20.3958,0.0,8.9967,31.795,True
26,Musicola,Samsonia,-11.25,0.88,-36.6221,14.1221,False
27,Pectobacterium,Samsonia,-31.6458,0.0007,-54.3656,-8.9261,True
