,group1,group2,meandiff,p-adj,lower,upper,reject
0,Acerihabitans,Affinibrenneria,-0.0005,1.0,-0.5762,0.5751,False
1,Acerihabitans,Brenneria,-0.0662,0.9997,-0.4793,0.347,False
2,Acerihabitans,Dickeya,0.5273,0.0024,0.1192,0.9353,True
3,Acerihabitans,Lonsdalea,0.3215,0.2572,-0.0907,0.7337,False
4,Acerihabitans,Musicola,0.1777,0.9356,-0.2774,0.6327,False
5,Acerihabitans,Pectobacterium,0.5105,0.0038,0.103,0.918,True
6,Acerihabitans,Samsonia,0.1884,0.9752,-0.3873,0.764,False
7,Affinibrenneria,Brenneria,-0.0656,0.9997,-0.4788,0.3475,False
8,Affinibrenneria,Dickeya,0.5278,0.0023,0.1198,0.9358,True
9,Affinibrenneria,Lonsdalea,0.322,0.2553,-0.0902,0.7343,False
10,Affinibrenneria,Musicola,0.1782,0.9347,-0.2769,0.6333,False
11,Affinibrenneria,Pectobacterium,0.511,0.0037,0.1035,0.9185,True
12,Affinibrenneria,Samsonia,0.1889,0.9748,-0.3868,0.7645,False
13,Brenneria,Dickeya,0.5934,0.0,0.5171,0.6697,True
14,Brenneria,Lonsdalea,0.3877,0.0,0.2914,0.484,True
15,Brenneria,Musicola,0.2438,0.0142,0.0283,0.4593,True
16,Brenneria,Pectobacterium,0.5767,0.0,0.5031,0.6502,True
17,Brenneria,Samsonia,0.2545,0.5702,-0.1586,0.6677,False
18,Dickeya,Lonsdalea,-0.2057,0.0,-0.2768,-0.1347,True
19,Dickeya,Musicola,-0.3496,0.0,-0.5551,-0.1441,True
20,Dickeya,Pectobacterium,-0.0168,0.8188,-0.0512,0.0177,False
21,Dickeya,Samsonia,-0.3389,0.1866,-0.7469,0.0691,False
22,Lonsdalea,Musicola,-0.1439,0.4512,-0.3576,0.0698,False
23,Lonsdalea,Pectobacterium,0.189,0.0,0.1209,0.257,True
24,Lonsdalea,Samsonia,-0.1332,0.9769,-0.5454,0.2791,False
25,Musicola,Pectobacterium,0.3328,0.0,0.1284,0.5373,True
26,Musicola,Samsonia,0.0107,1.0,-0.4444,0.4658,False
27,Pectobacterium,Samsonia,-0.3221,0.2413,-0.7296,0.0854,False
