,group1,group2,meandiff,p-adj,lower,upper,reject
0,Acerihabitans,Affinibrenneria,95.0,1.0,-839.9267,1029.9267,False
1,Acerihabitans,Brenneria,-698.7576,0.0344,-1369.7924,-27.7227,True
2,Acerihabitans,Dickeya,-792.1408,0.0072,-1454.8365,-129.4451,True
3,Acerihabitans,Lonsdalea,-1826.7179,0.0,-2496.2329,-1157.203,True
4,Acerihabitans,Musicola,-977.0,0.0017,-1716.1245,-237.8755,True
5,Acerihabitans,Pectobacterium,-708.287,0.0262,-1370.1448,-46.4293,True
6,Acerihabitans,Samsonia,-1480.0,0.0,-2414.9267,-545.0733,True
7,Affinibrenneria,Brenneria,-793.7576,0.0083,-1464.7924,-122.7227,True
8,Affinibrenneria,Dickeya,-887.1408,0.0014,-1549.8365,-224.4451,True
9,Affinibrenneria,Lonsdalea,-1921.7179,0.0,-2591.2329,-1252.203,True
10,Affinibrenneria,Musicola,-1072.0,0.0003,-1811.1245,-332.8755,True
11,Affinibrenneria,Pectobacterium,-803.287,0.0059,-1465.1448,-141.4293,True
12,Affinibrenneria,Samsonia,-1575.0,0.0,-2509.9267,-640.0733,True
13,Brenneria,Dickeya,-93.3832,0.3004,-217.3402,30.5738,False
14,Brenneria,Lonsdalea,-1127.9604,0.0,-1284.3254,-971.5954,True
15,Brenneria,Musicola,-278.2424,0.2348,-628.2492,71.7644,False
16,Brenneria,Pectobacterium,-9.5295,1.0,-128.9256,109.8667,False
17,Brenneria,Samsonia,-781.2424,0.0101,-1452.2773,-110.2076,True
18,Dickeya,Lonsdalea,-1034.5772,0.0,-1150.0234,-919.131,True
19,Dickeya,Musicola,-184.8592,0.6978,-518.5995,148.881,False
20,Dickeya,Pectobacterium,83.8537,0.0002,27.8783,139.8292,True
21,Dickeya,Samsonia,-687.8592,0.0355,-1350.5549,-25.1635,True
22,Lonsdalea,Musicola,849.7179,0.0,502.634,1196.8019,True
23,Lonsdalea,Pectobacterium,1118.4309,0.0,1007.8962,1228.9657,True
24,Lonsdalea,Samsonia,346.7179,0.7657,-322.797,1016.2329,False
25,Musicola,Pectobacterium,268.713,0.2146,-63.3603,600.7863,False
26,Musicola,Samsonia,-503.0,0.4363,-1242.1245,236.1245,False
27,Pectobacterium,Samsonia,-771.713,0.0099,-1433.5707,-109.8552,True
