,group1,group2,meandiff,p-adj,lower,upper,reject
0,Acerihabitans,Affinibrenneria,0.0,1.0,-1.7994,1.7994,False
1,Acerihabitans,Brenneria,0.2424,0.9992,-1.0491,1.5339,False
2,Acerihabitans,Dickeya,0.4126,0.9767,-0.8628,1.6881,False
3,Acerihabitans,Lonsdalea,0.0,1.0,-1.2886,1.2886,False
4,Acerihabitans,Musicola,0.0,1.0,-1.4225,1.4225,False
5,Acerihabitans,Pectobacterium,0.8843,0.4092,-0.3896,2.1581,False
6,Acerihabitans,Samsonia,1.0,0.6942,-0.7994,2.7994,False
7,Affinibrenneria,Brenneria,0.2424,0.9992,-1.0491,1.5339,False
8,Affinibrenneria,Dickeya,0.4126,0.9767,-0.8628,1.6881,False
9,Affinibrenneria,Lonsdalea,0.0,1.0,-1.2886,1.2886,False
10,Affinibrenneria,Musicola,0.0,1.0,-1.4225,1.4225,False
11,Affinibrenneria,Pectobacterium,0.8843,0.4092,-0.3896,2.1581,False
12,Affinibrenneria,Samsonia,1.0,0.6942,-0.7994,2.7994,False
13,Brenneria,Dickeya,0.1702,0.3721,-0.0684,0.4088,False
14,Brenneria,Lonsdalea,-0.2424,0.2197,-0.5434,0.0585,False
15,Brenneria,Musicola,-0.2424,0.958,-0.9161,0.4312,False
16,Brenneria,Pectobacterium,0.6418,0.0,0.412,0.8716,True
17,Brenneria,Samsonia,0.7576,0.6317,-0.5339,2.0491,False
18,Dickeya,Lonsdalea,-0.4126,0.0,-0.6348,-0.1904,True
19,Dickeya,Musicola,-0.4126,0.5148,-1.055,0.2297,False
20,Dickeya,Pectobacterium,0.4716,0.0,0.3639,0.5794,True
21,Dickeya,Samsonia,0.5874,0.8573,-0.6881,1.8628,False
22,Lonsdalea,Musicola,0.0,1.0,-0.668,0.668,False
23,Lonsdalea,Pectobacterium,0.8843,0.0,0.6715,1.097,True
24,Lonsdalea,Samsonia,1.0,0.2634,-0.2886,2.2886,False
25,Musicola,Pectobacterium,0.8843,0.0008,0.2451,1.5234,True
26,Musicola,Samsonia,1.0,0.392,-0.4225,2.4225,False
27,Pectobacterium,Samsonia,0.1157,1.0,-1.1581,1.3896,False
