,CAZyClass,Genus,MeanCazyClass,SdCazyClass,MeanClassPerc,SdClassPerc,NumOfGenomes
0,GH,Samsonia,34.0,0.0,41.98,0.0,1
1,GH,Dickeya,42.53,3.55,38.24,1.85,206
2,GH,Acerihabitans,51.0,0.0,48.11,0.0,1
3,GH,Musicola,37.0,0.0,40.13,0.99,4
4,GH,Pectobacterium,50.11,3.91,44.5,1.87,432
5,GH,Brenneria,42.48,6.6,48.14,4.19,33
6,GH,Affinibrenneria,59.0,0.0,54.63,0.0,1
7,GH,Lonsdalea,30.85,2.28,39.96,1.31,39
8,GT,Samsonia,25.0,0.0,30.86,0.0,1
9,GT,Dickeya,37.21,3.12,33.52,2.62,206
10,GT,Acerihabitans,44.0,0.0,41.51,0.0,1
11,GT,Musicola,31.0,3.0,33.55,2.44,4
12,GT,Pectobacterium,31.76,3.86,28.15,2.23,432
13,GT,Brenneria,32.3,2.55,36.9,2.61,33
14,GT,Affinibrenneria,35.0,0.0,32.41,0.0,1
15,GT,Lonsdalea,32.46,2.3,42.07,1.24,39
16,PL,Samsonia,8.0,0.0,9.88,0.0,1
17,PL,Dickeya,16.29,1.72,14.63,1.19,206
18,PL,Acerihabitans,1.0,0.0,0.94,0.0,1
19,PL,Musicola,11.25,0.43,12.19,0.33,4
20,PL,Pectobacterium,14.78,1.36,13.14,0.97,432
21,PL,Brenneria,4.24,1.23,4.81,1.29,33
22,PL,Affinibrenneria,1.0,0.0,0.93,0.0,1
23,PL,Lonsdalea,3.79,0.56,4.92,0.72,39
24,CE,Samsonia,8.0,0.0,9.88,0.0,1
25,CE,Dickeya,7.16,0.8,6.44,0.6,206
26,CE,Acerihabitans,5.0,0.0,4.72,0.0,1
27,CE,Musicola,6.0,0.0,6.51,0.16,4
28,CE,Pectobacterium,7.12,0.83,6.33,0.68,432
29,CE,Brenneria,4.3,1.06,4.93,1.24,33
30,CE,Affinibrenneria,7.0,0.0,6.48,0.0,1
31,CE,Lonsdalea,3.15,0.48,4.09,0.57,39
32,AA,Samsonia,1.0,0.0,1.23,0.0,1
33,AA,Dickeya,1.0,0.0,0.9,0.06,85
34,AA,Acerihabitans,0.0,0.0,0.0,0.0,1
35,AA,Musicola,0.0,0.0,0.0,0.0,4
36,AA,Pectobacterium,1.03,0.16,0.91,0.17,371
37,AA,Brenneria,1.0,0.0,1.27,0.06,8
38,AA,Affinibrenneria,0.0,0.0,0.0,0.0,1
39,AA,Lonsdalea,0.0,0.0,0.0,0.0,39
40,CBM,Samsonia,10.0,0.0,12.35,0.0,1
41,CBM,Dickeya,12.27,1.25,11.03,0.83,206
42,CBM,Acerihabitans,11.0,0.0,10.38,0.0,1
43,CBM,Musicola,11.0,1.0,11.96,1.38,4
44,CBM,Pectobacterium,13.98,1.49,12.41,1.02,432
45,CBM,Brenneria,9.36,0.64,10.74,1.17,33
46,CBM,Affinibrenneria,10.0,0.0,9.26,0.0,1
47,CBM,Lonsdalea,8.74,0.54,11.35,0.63,39
48,GT,Pectobacteriaceae,33.59,1.85,34.87,1.39,660
49,PL,Pectobacteriaceae,7.54,0.66,7.68,0.56,660
50,CBM,Pectobacteriaceae,10.79,0.62,11.18,0.63,660
51,GH,Pectobacteriaceae,43.37,2.04,44.46,1.28,660
52,AA,Pectobacteriaceae,0.5,0.02,0.54,0.04,660
53,CE,Pectobacteriaceae,5.97,0.4,6.17,0.41,660
