,group1,group2,meandiff,p-adj,lower,upper,reject
0,Acerihabitans,Affinibrenneria,-1.0,0.9999,-8.6335,6.6335,False
1,Acerihabitans,Brenneria,-1.6364,0.9853,-7.1152,3.8425,False
2,Acerihabitans,Dickeya,1.4272,0.993,-3.9836,6.838,False
3,Acerihabitans,Lonsdalea,-2.2564,0.9148,-7.7229,3.2101,False
4,Acerihabitans,Musicola,0.0,1.0,-6.0348,6.0348,False
5,Acerihabitans,Pectobacterium,3.1204,0.6506,-2.2836,8.5243,False
6,Acerihabitans,Samsonia,-1.0,0.9999,-8.6335,6.6335,False
7,Affinibrenneria,Brenneria,-0.6364,1.0,-6.1152,4.8425,False
8,Affinibrenneria,Dickeya,2.4272,0.8734,-2.9836,7.838,False
9,Affinibrenneria,Lonsdalea,-1.2564,0.997,-6.7229,4.2101,False
10,Affinibrenneria,Musicola,1.0,0.9996,-5.0348,7.0348,False
11,Affinibrenneria,Pectobacterium,4.1204,0.2852,-1.2836,9.5243,False
12,Affinibrenneria,Samsonia,0.0,1.0,-7.6335,7.6335,False
13,Brenneria,Dickeya,3.0635,0.0,2.0515,4.0756,True
14,Brenneria,Lonsdalea,-0.62,0.8199,-1.8967,0.6566,False
15,Brenneria,Musicola,1.6364,0.6604,-1.2214,4.4941,False
16,Brenneria,Pectobacterium,4.7567,0.0,3.7819,5.7316,True
17,Brenneria,Samsonia,0.6364,1.0,-4.8425,6.1152,False
18,Dickeya,Lonsdalea,-3.6836,0.0,-4.6262,-2.741,True
19,Dickeya,Musicola,-1.4272,0.755,-4.1521,1.2977,False
20,Dickeya,Pectobacterium,1.6932,0.0,1.2362,2.1502,True
21,Dickeya,Samsonia,-2.4272,0.8734,-7.838,2.9836,False
22,Lonsdalea,Musicola,2.2564,0.2329,-0.5775,5.0903,False
23,Lonsdalea,Pectobacterium,5.3768,0.0,4.4743,6.2793,True
24,Lonsdalea,Samsonia,1.2564,0.997,-4.2101,6.7229,False
25,Musicola,Pectobacterium,3.1204,0.0116,0.4091,5.8317,True
26,Musicola,Samsonia,-1.0,0.9996,-7.0348,5.0348,False
27,Pectobacterium,Samsonia,-4.1204,0.2852,-9.5243,1.2836,False
