,group1,group2,meandiff,p-adj,lower,upper,reject
0,Acerihabitans,Affinibrenneria,2.0,0.8959,-2.6483,6.6483,False
1,Acerihabitans,Brenneria,-0.697,0.9984,-4.0332,2.6393,False
2,Acerihabitans,Dickeya,2.2767,0.4155,-1.0181,5.5715,False
3,Acerihabitans,Lonsdalea,-1.8462,0.6964,-5.1749,1.4826,False
4,Acerihabitans,Musicola,1.0,0.9916,-2.6748,4.6748,False
5,Acerihabitans,Pectobacterium,2.2176,0.4497,-1.0731,5.5082,False
6,Acerihabitans,Samsonia,3.0,0.5085,-1.6483,7.6483,False
7,Affinibrenneria,Brenneria,-2.697,0.2157,-6.0332,0.6393,False
8,Affinibrenneria,Dickeya,0.2767,1.0,-3.0181,3.5715,False
9,Affinibrenneria,Lonsdalea,-3.8462,0.0111,-7.1749,-0.5174,True
10,Affinibrenneria,Musicola,-1.0,0.9916,-4.6748,2.6748,False
11,Affinibrenneria,Pectobacterium,0.2176,1.0,-3.0731,3.5082,False
12,Affinibrenneria,Samsonia,1.0,0.998,-3.6483,5.6483,False
13,Brenneria,Dickeya,2.9737,0.0,2.3574,3.59,True
14,Brenneria,Lonsdalea,-1.1492,0.0002,-1.9266,-0.3718,True
15,Brenneria,Musicola,1.697,0.062,-0.0432,3.4371,False
16,Brenneria,Pectobacterium,2.9146,0.0,2.3209,3.5082,True
17,Brenneria,Samsonia,3.697,0.018,0.3607,7.0332,True
18,Dickeya,Lonsdalea,-4.1229,0.0,-4.6968,-3.5489,True
19,Dickeya,Musicola,-1.2767,0.2739,-2.936,0.3826,False
20,Dickeya,Pectobacterium,-0.0591,0.9982,-0.3374,0.2192,False
21,Dickeya,Samsonia,0.7233,0.9978,-2.5715,4.0181,False
22,Lonsdalea,Musicola,2.8462,0.0,1.1205,4.5718,True
23,Lonsdalea,Pectobacterium,4.0637,0.0,3.5142,4.6133,True
24,Lonsdalea,Samsonia,4.8462,0.0003,1.5174,8.1749,True
25,Musicola,Pectobacterium,1.2176,0.3279,-0.4334,2.8686,False
26,Musicola,Samsonia,2.0,0.7166,-1.6748,5.6748,False
27,Pectobacterium,Samsonia,0.7824,0.9963,-2.5082,4.0731,False
