,group1,group2,meandiff,p-adj,lower,upper,reject
0,Acerihabitans,Affinibrenneria,8.0,0.9884,-19.8655,35.8655,False
1,Acerihabitans,Brenneria,-8.5152,0.901,-28.5153,11.485,False
2,Acerihabitans,Dickeya,-7.6699,0.9374,-27.4215,12.0817,False
3,Acerihabitans,Lonsdalea,-20.1538,0.0458,-40.1087,-0.199,True
4,Acerihabitans,Musicola,-14.0,0.5293,-36.0296,8.0296,False
5,Acerihabitans,Pectobacterium,-0.1551,1.0,-19.8818,19.5716,False
6,Acerihabitans,Samsonia,-17.0,0.5827,-44.8655,10.8655,False
7,Affinibrenneria,Brenneria,-16.5152,0.1927,-36.5153,3.485,False
8,Affinibrenneria,Dickeya,-15.6699,0.2371,-35.4215,4.0817,False
9,Affinibrenneria,Lonsdalea,-28.1538,0.0005,-48.1087,-8.199,True
10,Affinibrenneria,Musicola,-22.0,0.0506,-44.0296,0.0296,False
11,Affinibrenneria,Pectobacterium,-8.1551,0.9142,-27.8818,11.5716,False
12,Affinibrenneria,Samsonia,-25.0,0.1161,-52.8655,2.8655,False
13,Brenneria,Dickeya,0.8452,0.9971,-2.8493,4.5398,False
14,Brenneria,Lonsdalea,-11.6387,0.0,-16.2992,-6.9782,True
15,Brenneria,Musicola,-5.4848,0.7514,-15.9168,4.9471,False
16,Brenneria,Pectobacterium,8.3601,0.0,4.8015,11.9187,True
17,Brenneria,Samsonia,-8.4848,0.9027,-28.485,11.5153,False
18,Dickeya,Lonsdalea,-12.4839,0.0,-15.9248,-9.0431,True
19,Dickeya,Musicola,-6.3301,0.5274,-16.2772,3.617,False
20,Dickeya,Pectobacterium,7.5148,0.0,5.8465,9.1832,True
21,Dickeya,Samsonia,-9.3301,0.8403,-29.0817,10.4215,False
22,Lonsdalea,Musicola,6.1538,0.6146,-4.191,16.4987,False
23,Lonsdalea,Pectobacterium,19.9988,0.0,16.7043,23.2932,True
24,Lonsdalea,Samsonia,3.1538,0.9997,-16.801,23.1087,False
25,Musicola,Pectobacterium,13.8449,0.0006,3.9475,23.7423,True
26,Musicola,Samsonia,-3.0,0.9999,-25.0296,19.0296,False
27,Pectobacterium,Samsonia,-16.8449,0.159,-36.5716,2.8818,False
