,group1,group2,meandiff,p-adj,lower,upper,reject
0,Acerihabitans,Affinibrenneria,-9.0,0.9555,-33.7332,15.7332,False
1,Acerihabitans,Brenneria,-11.6667,0.484,-29.4187,6.0853,False
2,Acerihabitans,Dickeya,-6.0437,0.9668,-23.5751,11.4877,False
3,Acerihabitans,Lonsdalea,-11.5385,0.4959,-29.2502,6.1733,False
4,Acerihabitans,Musicola,-13.0,0.4682,-32.5533,6.5533,False
5,Acerihabitans,Pectobacterium,-11.7361,0.4571,-29.2453,5.7731,False
6,Acerihabitans,Samsonia,-19.0,0.2758,-43.7332,5.7332,False
7,Affinibrenneria,Brenneria,-2.6667,0.9998,-20.4187,15.0853,False
8,Affinibrenneria,Dickeya,2.9563,0.9996,-14.5751,20.4877,False
9,Affinibrenneria,Lonsdalea,-2.5385,0.9999,-20.2502,15.1733,False
10,Affinibrenneria,Musicola,-4.0,0.9986,-23.5533,15.5533,False
11,Affinibrenneria,Pectobacterium,-2.7361,0.9998,-20.2453,14.7731,False
12,Affinibrenneria,Samsonia,-10.0,0.9232,-34.7332,14.7332,False
13,Brenneria,Dickeya,5.623,0.0,2.3437,8.9022,True
14,Brenneria,Lonsdalea,0.1282,1.0,-4.0084,4.2648,False
15,Brenneria,Musicola,-1.3333,0.9999,-10.5926,7.926,False
16,Brenneria,Pectobacterium,-0.0694,1.0,-3.228,3.0891,False
17,Brenneria,Samsonia,-7.3333,0.9145,-25.0853,10.4187,False
18,Dickeya,Lonsdalea,-5.4948,0.0,-8.5489,-2.4407,True
19,Dickeya,Musicola,-6.9563,0.2452,-15.7853,1.8727,False
20,Dickeya,Pectobacterium,-5.6924,0.0,-7.1732,-4.2116,True
21,Dickeya,Samsonia,-12.9563,0.3252,-30.4877,4.5751,False
22,Lonsdalea,Musicola,-1.4615,0.9997,-10.6435,7.7204,False
23,Lonsdalea,Pectobacterium,-0.1976,1.0,-3.1218,2.7265,False
24,Lonsdalea,Samsonia,-7.4615,0.9059,-25.1733,10.2502,False
25,Musicola,Pectobacterium,1.2639,0.9999,-7.521,10.0488,False
26,Musicola,Samsonia,-6.0,0.9828,-25.5533,13.5533,False
27,Pectobacterium,Samsonia,-7.2639,0.9127,-24.7731,10.2453,False
