,Families,Genus,Incidence
0,PL2+PL22,Pectobacteriaceae,
1,PL2+PL22,Pectobacterium,
2,PL2+PL22,Dickeya,205.0
3,PL2+PL22,Musicola,
4,PL2+PL22,Soft tissue targeting,635.0
5,PL2+PL22,Brenneria,
6,PL2+PL22,Lonsdalea,
7,PL2+PL22,Hard tissue targeting,
8,GT84+GH94,Pectobacteriaceae,309.0
9,GT84+GH94,Pectobacterium,152.0
10,GT84+GH94,Dickeya,89.0
11,GT84+GH94,Musicola,
12,GT84+GH94,Soft tissue targeting,241.0
13,GT84+GH94,Brenneria,
14,GT84+GH94,Lonsdalea,33.0
15,GT84+GH94,Hard tissue targeting,68.0
16,GH105+GT56,Pectobacteriaceae,
17,GH105+GT56,Pectobacterium,425.0
18,GH105+GT56,Dickeya,
19,GH105+GT56,Musicola,
20,GH105+GT56,Soft tissue targeting,
21,GH105+GT56,Brenneria,
22,GH105+GT56,Lonsdalea,
23,GH105+GT56,Hard tissue targeting,
24,GH5+CBM3,Pectobacteriaceae,
25,GH5+CBM3,Pectobacterium,425.0
26,GH5+CBM3,Dickeya,
27,GH5+CBM3,Musicola,
28,GH5+CBM3,Soft tissue targeting,
29,GH5+CBM3,Brenneria,25.0
30,GH5+CBM3,Lonsdalea,
31,GH5+CBM3,Hard tissue targeting,25.0
32,GH13+GT30,Pectobacteriaceae,
33,GH13+GT30,Pectobacterium,
34,GH13+GT30,Dickeya,
35,GH13+GT30,Musicola,
36,GH13+GT30,Soft tissue targeting,
37,GH13+GT30,Brenneria,
38,GH13+GT30,Lonsdalea,
39,GH13+GT30,Hard tissue targeting,74.0
40,PL3+GT30,Pectobacteriaceae,
41,PL3+GT30,Pectobacterium,
42,PL3+GT30,Dickeya,205.0
43,PL3+GT30,Musicola,
44,PL3+GT30,Soft tissue targeting,
45,PL3+GT30,Brenneria,
46,PL3+GT30,Lonsdalea,
47,PL3+GT30,Hard tissue targeting,
48,CE11+GT83,Pectobacteriaceae,
49,CE11+GT83,Pectobacterium,
50,CE11+GT83,Dickeya,204.0
51,CE11+GT83,Musicola,
52,CE11+GT83,Soft tissue targeting,
53,CE11+GT83,Brenneria,
54,CE11+GT83,Lonsdalea,
55,CE11+GT83,Hard tissue targeting,
56,GH8+GT83,Pectobacteriaceae,
57,GH8+GT83,Pectobacterium,
58,GH8+GT83,Dickeya,
59,GH8+GT83,Musicola,
60,GH8+GT83,Soft tissue targeting,
61,GH8+GT83,Brenneria,15.0
62,GH8+GT83,Lonsdalea,
63,GH8+GT83,Hard tissue targeting,
64,GT81+GH31,Pectobacteriaceae,
65,GT81+GH31,Pectobacterium,
66,GT81+GH31,Dickeya,
67,GT81+GH31,Musicola,
68,GT81+GH31,Soft tissue targeting,
69,GT81+GH31,Brenneria,
70,GT81+GH31,Lonsdalea,38.0
71,GT81+GH31,Hard tissue targeting,
72,GH148+CBM4,Pectobacteriaceae,8.0
73,GH148+CBM4,Pectobacterium,
74,GH148+CBM4,Dickeya,8.0
75,GH148+CBM4,Musicola,
76,GH148+CBM4,Soft tissue targeting,8.0
77,GH148+CBM4,Brenneria,
78,GH148+CBM4,Lonsdalea,
79,GH148+CBM4,Hard tissue targeting,
80,GT1+GH78,Pectobacteriaceae,
81,GT1+GH78,Pectobacterium,
82,GT1+GH78,Dickeya,
83,GT1+GH78,Musicola,
84,GT1+GH78,Soft tissue targeting,
85,GT1+GH78,Brenneria,
86,GT1+GH78,Lonsdalea,10.0
87,GT1+GH78,Hard tissue targeting,
88,GH26+GH51,Pectobacteriaceae,
89,GH26+GH51,Pectobacterium,
90,GH26+GH51,Dickeya,
91,GH26+GH51,Musicola,
92,GH26+GH51,Soft tissue targeting,
93,GH26+GH51,Brenneria,
94,GH26+GH51,Lonsdalea,9.0
95,GH26+GH51,Hard tissue targeting,
96,GH121+GH146,Pectobacteriaceae,1.0
97,GH121+GH146,Pectobacterium,
98,GH121+GH146,Dickeya,
99,GH121+GH146,Musicola,
100,GH121+GH146,Soft tissue targeting,
101,GH121+GH146,Brenneria,
102,GH121+GH146,Lonsdalea,
103,GH121+GH146,Hard tissue targeting,
104,PL35+GH88,Pectobacteriaceae,
105,PL35+GH88,Pectobacterium,
106,PL35+GH88,Dickeya,3.0
107,PL35+GH88,Musicola,
108,PL35+GH88,Soft tissue targeting,
109,PL35+GH88,Brenneria,
110,PL35+GH88,Lonsdalea,
111,PL35+GH88,Hard tissue targeting,
112,CBM32+CBM63,Pectobacteriaceae,
113,CBM32+CBM63,Pectobacterium,
114,CBM32+CBM63,Dickeya,
115,CBM32+CBM63,Musicola,2.0
116,CBM32+CBM63,Soft tissue targeting,
117,CBM32+CBM63,Brenneria,
118,CBM32+CBM63,Lonsdalea,
119,CBM32+CBM63,Hard tissue targeting,
120,PL17+GT73,Pectobacteriaceae,
121,PL17+GT73,Pectobacterium,
122,PL17+GT73,Dickeya,
123,PL17+GT73,Musicola,
124,PL17+GT73,Soft tissue targeting,
125,PL17+GT73,Brenneria,1.0
126,PL17+GT73,Lonsdalea,
127,PL17+GT73,Hard tissue targeting,1.0
128,PL38+GH106,Pectobacteriaceae,
129,PL38+GH106,Pectobacterium,
130,PL38+GH106,Dickeya,
131,PL38+GH106,Musicola,
132,PL38+GH106,Soft tissue targeting,
133,PL38+GH106,Brenneria,1.0
134,PL38+GH106,Lonsdalea,
135,PL38+GH106,Hard tissue targeting,1.0
136,GH15+GH127,Pectobacteriaceae,1.0
137,GH15+GH127,Pectobacterium,
138,GH15+GH127,Dickeya,
139,GH15+GH127,Musicola,
140,GH15+GH127,Soft tissue targeting,
141,GH15+GH127,Brenneria,
142,GH15+GH127,Lonsdalea,
143,GH15+GH127,Hard tissue targeting,1.0
144,GH24+GH36,Pectobacteriaceae,
145,GH24+GH36,Pectobacterium,
146,GH24+GH36,Dickeya,
147,GH24+GH36,Musicola,2.0
148,GH24+GH36,Soft tissue targeting,
149,GH24+GH36,Brenneria,
150,GH24+GH36,Lonsdalea,
151,GH24+GH36,Hard tissue targeting,
152,CBM67+GH65,Pectobacteriaceae,
