,Family,Genus,MeanFreq,SdFreq
0,CBM5,Samsonia,1.0,0.0
1,CBM50,Samsonia,6.0,0.0
2,GH23,Samsonia,5.0,0.0
3,GH3,Samsonia,2.0,0.0
4,GT2,Samsonia,5.0,0.0
5,GT51,Samsonia,3.0,0.0
6,GT9,Samsonia,3.0,0.0
7,CBM5,Dickeya,1.99,0.12
8,CBM50,Dickeya,5.97,0.28
9,GH23,Dickeya,6.04,1.44
10,GH3,Dickeya,3.04,0.26
11,GT2,Dickeya,9.5,1.79
12,GT51,Dickeya,3.02,0.23
13,GT9,Dickeya,3.99,0.36
14,CBM5,Acerihabitans,1.0,0.0
15,CBM50,Acerihabitans,6.0,0.0
16,GH23,Acerihabitans,8.0,0.0
17,GH3,Acerihabitans,2.0,0.0
18,GT2,Acerihabitans,12.0,0.0
19,GT51,Acerihabitans,3.0,0.0
20,GT9,Acerihabitans,6.0,0.0
21,CBM5,Musicola,2.0,0.0
22,CBM50,Musicola,6.0,0.0
23,GH23,Musicola,4.5,0.5
24,GH3,Musicola,2.5,0.5
25,GT2,Musicola,6.5,1.5
26,GT51,Musicola,3.0,0.0
27,GT9,Musicola,4.0,0.0
28,CBM5,Pectobacterium,1.03,0.24
29,CBM50,Pectobacterium,5.98,0.25
30,GH23,Pectobacterium,6.92,1.49
31,GH3,Pectobacterium,2.22,0.44
32,GT2,Pectobacterium,7.71,1.98
33,GT51,Pectobacterium,3.12,0.41
34,GT9,Pectobacterium,3.54,0.59
35,CBM5,Brenneria,1.0,0.0
36,CBM50,Brenneria,5.64,0.48
37,GH23,Brenneria,5.58,1.35
38,GH3,Brenneria,3.27,0.9
39,GT2,Brenneria,6.76,2.31
40,GT51,Brenneria,3.03,0.17
41,GT9,Brenneria,3.67,0.47
42,CBM5,Affinibrenneria,2.0,0.0
43,CBM50,Affinibrenneria,6.0,0.0
44,GH23,Affinibrenneria,5.0,0.0
45,GH3,Affinibrenneria,3.0,0.0
46,GT2,Affinibrenneria,9.0,0.0
47,GT51,Affinibrenneria,5.0,0.0
48,GT9,Affinibrenneria,4.0,0.0
49,CBM5,Lonsdalea,1.0,0.0
50,CBM50,Lonsdalea,5.79,0.52
51,GH23,Lonsdalea,5.21,1.04
52,GH3,Lonsdalea,1.97,0.28
53,GT2,Lonsdalea,7.03,0.86
54,GT51,Lonsdalea,2.87,0.33
55,GT9,Lonsdalea,3.92,0.27
0,CBM5,Pectobacteriaceae,1.31,0.48
1,CBM50,Pectobacteriaceae,5.95,0.3
2,GH23,Pectobacteriaceae,6.49,1.55
3,GH3,Pectobacteriaceae,2.49,0.6
4,GT2,Pectobacteriaceae,8.15,2.1
5,GT51,Pectobacteriaceae,3.08,0.37
6,GT9,Pectobacteriaceae,3.7,0.56
