,Family,Genus,MeanFreq,SdFreq
0,CE8,Dickeya,1.7717391304347827,0.4197116212240831
1,GH1,Dickeya,4.717391304347826,0.7707433870102537
2,GH103,Dickeya,1.8804347826086956,0.32445242514346295
3,GH105,Dickeya,2.0869565217391304,0.3505329455781978
4,GH13,Dickeya,1.9673913043478262,0.17761015911269776
5,GH23,Dickeya,5.543478260869565,1.280396028054541
6,GH28,Dickeya,3.0869565217391304,0.8553180683872176
7,GH3,Dickeya,3.0,0.20851441405707477
8,GT19,Dickeya,1.0,0.0
9,GT2,Dickeya,9.119565217391305,1.6735953961739132
10,GT30,Dickeya,1.0,0.0
11,GT51,Dickeya,3.0,0.14744195615489714
12,GT9,Dickeya,4.032608695652174,0.17761015911269776
13,PL1,Dickeya,6.445652173913044,0.9482722324538984
14,PL9,Dickeya,2.9565217391304346,0.20393111999232302
15,CE8,Pectobacterium,1.9202127659574468,0.2709635239776602
16,GH1,Pectobacterium,9.319148936170214,1.12715765626346
17,GH103,Pectobacterium,1.4840425531914894,0.499745295016725
18,GH105,Pectobacterium,1.9946808510638299,0.0727382677190284
19,GH13,Pectobacterium,3.0106382978723403,0.5051791519397347
20,GH23,Pectobacterium,6.196808510638298,0.9885463352563933
21,GH28,Pectobacterium,3.7872340425531914,0.5233350585637806
22,GH3,Pectobacterium,2.1968085106382977,0.4596372593038286
23,GT19,Pectobacterium,1.0,0.0
24,GT2,Pectobacterium,6.574468085106383,2.0472574373876107
25,GT30,Pectobacterium,1.0,0.0
26,GT51,Pectobacterium,2.9893617021276597,0.3092434436967794
27,GT9,Pectobacterium,3.1808510638297873,0.5918374913064308
28,PL1,Pectobacterium,5.654255319148936,0.6705293072143893
29,PL9,Pectobacterium,1.9787234042553192,0.14430489325798443
