,Families,Genus,Incidence
0,GH94+GT84,Both,97
1,GH153+CE4,Both,41
2,GT4+GH102+CE11+GH32,Both,279
3,PL9+GH105+GT19+GH3+GH28+GH23+GT2+GT30+GH13+GH103+GH1+GT51+CE8+GT9+PL1,Both,280
4,GH94+GT84,Pectobacterium,67
5,GH5+CE1,Pectobacterium,187
6,GH153+CE4,Pectobacterium,41
7,CBM48+GT26+GT56,Pectobacterium,187
8,GT4+GH102+CE11+GH32,Pectobacterium,187
9,PL9+GH105+GT19+GH3+GH28+GH23+GT2+GT30+GH13+GH103+GH1+GT51+CE8+GT9+PL1+PL3+GH43+GT28+PL22+PL2+CE9+CBM32,Pectobacterium,188
10,GH94+GT84,Dickeya,30
11,GH5+GH19,Dickeya,90
12,PL3+GT41,Dickeya,90
13,PL9+GH105+GT19+GH3+GH28+GH23+GT2+GT30+GH13+GH103+GH1+GT51+CE8+GT9+PL1+GT4+GH102+CE11+GH32+CBM48+GT35+GH104+GH33+GT5+GT83+GH31+CE12+GT1+GH8,Dickeya,92
