,CAZyClass,Genus,MeanCazyClass,SdCazyClass,MeanClassPerc,SdClassPerc,NumOfGenomes
0,GH,Samsonia,34.0,0.0,41.98,0.0,1
1,GH,Musicola,37.0,0.0,40.13,0.99,4
2,GH,Lonsdalea,30.85,2.28,39.96,1.31,39
3,GH,Acerihabitans,51.0,0.0,48.11,0.0,1
4,GH,Dickeya,42.53,3.55,38.24,1.85,206
5,GH,Affinibrenneria,59.0,0.0,54.63,0.0,1
6,GH,Brenneria,42.48,6.6,48.14,4.19,33
7,GH,Pectobacterium,50.11,3.91,44.5,1.87,432
8,GT,Samsonia,25.0,0.0,30.86,0.0,1
9,GT,Musicola,31.0,3.0,33.55,2.44,4
10,GT,Lonsdalea,32.46,2.3,42.07,1.24,39
11,GT,Acerihabitans,44.0,0.0,41.51,0.0,1
12,GT,Dickeya,37.21,3.12,33.52,2.62,206
13,GT,Affinibrenneria,35.0,0.0,32.41,0.0,1
14,GT,Brenneria,32.3,2.55,36.9,2.61,33
15,GT,Pectobacterium,31.76,3.86,28.15,2.23,432
16,PL,Samsonia,8.0,0.0,9.88,0.0,1
17,PL,Musicola,11.25,0.43,12.19,0.33,4
18,PL,Lonsdalea,3.79,0.56,4.92,0.72,39
19,PL,Acerihabitans,1.0,0.0,0.94,0.0,1
20,PL,Dickeya,16.29,1.72,14.63,1.19,206
21,PL,Affinibrenneria,1.0,0.0,0.93,0.0,1
22,PL,Brenneria,4.24,1.23,4.81,1.29,33
23,PL,Pectobacterium,14.78,1.36,13.14,0.97,432
24,CE,Samsonia,8.0,0.0,9.88,0.0,1
25,CE,Musicola,6.0,0.0,6.51,0.16,4
26,CE,Lonsdalea,3.15,0.48,4.09,0.57,39
27,CE,Acerihabitans,5.0,0.0,4.72,0.0,1
28,CE,Dickeya,7.16,0.8,6.44,0.6,206
29,CE,Affinibrenneria,7.0,0.0,6.48,0.0,1
30,CE,Brenneria,4.3,1.06,4.93,1.24,33
31,CE,Pectobacterium,7.12,0.83,6.33,0.68,432
32,AA,Samsonia,1.0,0.0,1.23,0.0,1
33,AA,Musicola,0.0,0.0,0.0,0.0,4
34,AA,Lonsdalea,0.0,0.0,0.0,0.0,39
35,AA,Acerihabitans,0.0,0.0,0.0,0.0,1
36,AA,Dickeya,1.0,0.0,0.9,0.06,85
37,AA,Affinibrenneria,0.0,0.0,0.0,0.0,1
38,AA,Brenneria,1.0,0.0,1.27,0.06,8
39,AA,Pectobacterium,1.03,0.16,0.91,0.17,371
40,CBM,Samsonia,10.0,0.0,12.35,0.0,1
41,CBM,Musicola,11.0,1.0,11.96,1.38,4
42,CBM,Lonsdalea,8.74,0.54,11.35,0.63,39
43,CBM,Acerihabitans,11.0,0.0,10.38,0.0,1
44,CBM,Dickeya,12.27,1.25,11.03,0.83,206
45,CBM,Affinibrenneria,10.0,0.0,9.26,0.0,1
46,CBM,Brenneria,9.36,0.64,10.74,1.17,33
47,CBM,Pectobacterium,13.98,1.49,12.41,1.02,432
48,GT,Pectobacteriaceae,33.59,1.85,34.87,1.39,660
49,PL,Pectobacteriaceae,7.54,0.66,7.68,0.56,660
50,CBM,Pectobacteriaceae,10.79,0.62,11.18,0.63,660
51,GH,Pectobacteriaceae,43.37,2.04,44.46,1.28,660
52,CE,Pectobacteriaceae,5.97,0.4,6.17,0.41,660
53,AA,Pectobacteriaceae,0.5,0.02,0.54,0.04,660
