Source	Target	weight
AA3	GH4	5.49931e-06
CBM13	CBM3	1.9922e-17
CBM13	GH38	8.07911e-18
CBM13	GH4	1.0261e-12
CBM13	GT8	3.21208e-07
CBM13	GH12	1.12936e-10
CBM3	GH38	4.62228e-17
CBM3	GH4	4.04539e-13
CBM3	GT8	5.38299e-08
CBM3	GH12	6.3658e-11
CBM91	PL38	2.31522e-26
CE2	GH19	3.20349e-07
CE2	GH91	1.71116e-21
GH104	GH19	1.44211e-13
GH104	GH26	6.021e-07
GH104	GH30	5.41165e-08
GH108	GH12	1.12144e-06
GH108	GH65	1.77527e-08
GH108	GH153	6.86953e-07
GH12	GH38	2.49988e-10
GH12	GH4	5.20685e-07
GH153	GT8	6.56676e-06
GH153	GH65	8.09288e-12
GH153	GT25	2.7231e-06
GH19	GT1	7.79379e-10
GH19	PL10	2.32387e-05
GH19	GH91	8.73345e-08
GH19	GH26	1.1853e-11
GH19	GH30	1.38366e-12
GH26	GH30	3.75335e-18
GH38	GH4	1.812e-12
GH38	GT8	1.72068e-07
GH91	GT84	1.34956e-05
GH91	GH94	1.34956e-05
GH94	GT84	1.89663e-27
GT25	GT8	1.25378e-06
GT25	GT32	1.75461e-09
GT32	GT8	1.02897e-09
GT8	PL11	1.82805e-05
