,AA10,AA3,CBM0,CBM13,CBM18,CBM3,CBM32,CBM4,CBM48,CBM5,CBM50,CBM63,CBM67,CBM91,CE1,CE11,CE12,CE2,CE4,CE8,CE9,GH0,GH1,GH102,GH103,GH104,GH105,GH106,GH108,GH113,GH12,GH121,GH127,GH13,GH140,GH146,GH148,GH15,GH153,GH154,GH16,GH18,GH19,GH2,GH23,GH24,GH25,GH26,GH28,GH3,GH30,GH31,GH32,GH33,GH36,GH37,GH38,GH39,GH4,GH42,GH43,GH5,GH51,GH53,GH65,GH68,GH73,GH77,GH78,GH8,GH88,GH91,GH94,GT0,GT1,GT101,GT102,GT11,GT111,GT14,GT19,GT2,GT20,GT21,GT24,GT25,GT26,GT28,GT30,GT32,GT35,GT4,GT41,GT5,GT51,GT52,GT56,GT73,GT8,GT81,GT83,GT84,GT9,GT97,PL0,PL1,PL10,PL11,PL17,PL2,PL22,PL26,PL3,PL35,PL38,PL4,PL9
AA10,1.0,0.06264642288224981,0.07707246709435592,0.07603426757301124,-0.006343557360579475,0.09096095006385573,0.052192277820018826,-0.012741141004117556,0.030303095015968156,,,-0.24544059883924774,-0.010051332566855632,0.03147200345511063,0.04192629032567897,0.007774724158652013,0.03284923525497151,-0.041015032959882375,-0.046817518949752876,0.03978141057924858,0.010051332566855717,0.024721206045785808,0.004482412459633693,0.008983824922748237,0.004482412459633724,-0.05620793573627577,0.03104632027133662,-0.004482412459633641,0.0030838650246488085,-0.00898382492274819,-0.11994260255165519,-0.00448241245963364,-0.00448241245963364,0.006343557360579458,-0.010051332566855632,-0.00448241245963364,-0.012741141004117556,-0.00448241245963364,-0.05543044058100653,-0.0169273361935709,0.1764862384014006,0.6532377768682934,-0.09401414113598644,0.041320058195428465,,0.08259093273939253,-0.004482412459633641,-0.04575787445751822,0.007774724158651886,,-0.058086675745391794,0.0328492352549715,0.010051332566855373,0.04070869071674042,0.04371664889244803,-0.04009191585173142,0.09513731787680157,-0.029545783966999892,0.09041107969588885,0.046904276093397375,0.05109755238807975,0.03424168960517825,-0.025928720905473844,0.0471888126227175,0.3605859031948865,-0.04162379985905657,0.010051332566855553,0.008983824922748193,-0.04604575307078672,0.03249451328386338,-0.03724120825548518,-0.041926290325679,-0.10471459182285162,0.010051332566855737,0.05716145082029013,-0.007774724158652,-0.004482412459633642,-0.01352364275164341,-0.016299900594732412,0.3142171134203181,0.004482412459633637,,-0.04132005819542843,-0.018693288837240158,-0.00448241245963364,-0.004731200189136031,0.007774724158652093,0.006343557360579427,0.008983824922748187,-0.02341891497512916,0.029161491087848237,0.008983824922748119,0.08525819977862542,0.029545783966999892,,0.05948864271145255,0.010051332566855507,-0.014265335235378047,0.1258235231793178,-0.01141708878698451,0.042527642149537595,-0.10471459182285162,,-0.00448241245963364,-0.010051332566855638,0.020836563457751377,-0.02280073974825626,0.2579110816407563,-0.004482412459633638,0.03177648681890997,0.03030309501596814,-0.1909134136890093,0.015649231897331244,-0.031046320271336636,0.025588601475918574,0.042826563372081246,0.028380840777639433
AA3,0.06264642288224981,1.0,0.050412923746533535,0.5570157746059559,-0.07234577851709093,0.4929810067895115,0.14524810142338168,0.07831519195637619,0.30848858162086823,,,0.21238843849846947,0.06178191098711516,0.01991906295253202,0.3649438435341148,0.04318230845646693,0.2939163171787361,-0.4677603309502946,-0.08365723430730022,0.3946874104080452,0.0793488157979094,0.1089047892977146,0.051120152399360054,0.0236183326569356,0.05112015239936016,-0.25070573791508194,0.30563538307743593,-0.05112015239935994,-0.10315089590912101,-0.023618332656935623,0.2596065744980881,0.027551770449005673,-0.051120152399359936,0.07234577851709098,-0.07934881579790931,0.027551770449005673,0.07831519195637619,-0.051120152399359936,-0.09939844617539105,-0.17182848510840906,0.002303056451011575,0.017578526375212407,-0.44128700926077824,0.2994767480871351,,0.24864272000370283,-0.05112015239935994,0.14887673723011563,0.08866767336394596,,0.057186779929654395,-0.09813428434853677,0.008783452405397065,0.3580589071776176,0.20627342735643556,-0.37904775762510934,0.5223609801805884,-0.31166218478700813,0.44906200824976167,0.37894470145732545,0.48491197125125846,0.3126076384636651,-0.26726428666086954,0.4173874210329087,-0.18498674300975407,-0.39880182701749844,-0.02649922929085885,-0.015800997200062634,-0.2528188227710638,0.10288630866334529,0.05253201526361075,-0.46871877809928003,-0.3317971355406245,0.008783452405397067,-0.26101032460810375,0.047788421358490304,-0.05112015239935994,-0.022366953765824895,-0.07586182084120942,-0.05112015239935995,-0.027551770449005326,,-0.3471884913626466,-0.21318961224801575,0.027551770449005693,0.04680828990504387,-0.00230305645101147,0.016677111281537267,0.023618332656935557,0.21310029790114005,0.31977983219673795,-0.055220327057060814,0.17426286214986472,0.3116621847870075,,-0.15529128745491455,-0.06178191098711534,0.08768386339336827,0.20088453387846775,0.16718808649275582,0.37304907917594254,-0.3317971355406245,,-0.05112015239935995,0.06178191098711517,0.22021816708372802,-0.01992464293212666,0.24467992229031305,0.02755177044900572,0.3030667548182222,0.32085735066910825,0.17021250855078499,0.15558471294188794,0.17872159311348557,-0.03689596784376145,0.34922391213110865,0.21880515310399096
CBM0,0.07707246709435592,0.050412923746533535,1.0,0.06567309187506161,-0.006958953193300083,0.0544804127193333,-0.0022600859615433014,-0.013977173821723126,0.03324283329393328,,,0.042608966963609364,-0.011026423958536032,0.2657924555347865,0.04599360821708693,0.008528959136886373,0.03603597754086804,-0.04499394872081818,-0.07441268096014474,0.043640651206968036,0.011026423958535973,0.06595513066999804,0.004917256474024625,0.009855356163831633,0.004917256474024535,-0.0043698046294537015,0.03405815969049562,-0.004917256474024565,-0.007752787019190855,-0.009855356163831768,0.02128473682163343,-0.004917256474024567,-0.0049172564740245644,0.0069589531933,-0.011026423958536041,-0.004917256474024567,-0.013977173821723126,-0.0049172564740245644,0.11075708559555596,-0.018569476645759184,-0.008528959136886618,0.03775738505389671,-0.058202776518383015,0.009990177112085526,,0.020582677707998005,-0.004917256474024565,0.015169392480869813,0.008528959136886564,,-0.008199487484461934,-0.04936928923098917,0.011026423958535791,0.04465788786253654,0.047957651538077954,-0.04398127895487948,0.059557083704455956,-0.032412054624650834,0.03111403281092084,0.05145451413869757,0.056054585014166804,0.03756351549726955,-0.028444096094190862,0.0517666538856522,0.0015268917595297599,-0.04566177280061762,0.01102642395853604,0.009855356163831574,-0.05051270480520842,-0.007456737687921352,0.1896793828395842,-0.04599360821708696,-0.0928464420311759,0.011026423958535916,0.07151095514994239,-0.008528959136886631,0.2864301896119312,-0.014835586968350762,0.06361571090229994,-0.004917256474024567,0.004917256474024598,,-0.04532856480707469,-0.020506746396837226,-0.004917256474024567,0.05700449834290014,0.008528959136886552,0.006958953193300033,0.009855356163831666,0.14120233072041607,0.031990481049048995,0.009855356163831661,-0.02192090538231496,0.032412054624650743,,0.05096529619213944,0.011026423958535685,-0.015649231897331178,0.0942957649764971,-0.03019340997738754,0.012100699136728205,-0.0928464420311759,,-0.004917256474024567,-0.011026423958536032,0.022857942565915806,-0.025012665868956206,0.02175056379279574,-0.00491725647402456,0.034859160538923774,0.03324283329393326,0.05768660637794057,0.017167381974249028,0.23500130186442048,0.25232342728624996,0.04698121779243893,0.031134098949812672
CBM13,0.07603426757301124,0.5570157746059559,0.06567309187506161,1.0,-0.009328789710486562,0.9010770608768264,0.5126430234091397,-0.1270462039781167,0.2901810149621772,,,0.2416299405198309,0.03648486389762306,0.06824705248671525,0.37236824428437226,0.03346376570767407,0.3052113432217428,-0.4089746940173116,-0.1914606544195317,0.38714787033236775,0.0660476982810727,0.12333477642904862,0.04469564283737472,0.051396144625303675,0.04469564283737483,-0.5627737124549007,0.29784366957571806,-0.044695642837374726,0.15891319240390606,-0.08958074110241003,0.5404758269334725,-0.04469564283737471,-0.04469564283737469,0.009328789710486635,-0.10022521900730451,-0.04469564283737471,-0.1270462039781167,-0.04469564283737469,0.19522088268688956,-0.1687881647459656,-0.03346376570767399,0.13738120555857747,-0.8257950739452742,0.31033821747863105,,0.3900812073894888,-0.0446956428373747,-0.45626716241945764,0.0775243905561114,,-0.45575680288056153,-0.05221960597431907,0.06604769828107258,0.34045034924772777,0.21470863759176073,-0.39976998272968506,0.9427857875543766,-0.2946109532381566,0.640386460541509,0.4593041877319624,0.5095108877125323,0.33065467407532406,-0.2585440004143998,0.4705355283340349,0.18478383698321302,-0.37828301711503814,-0.0023073431713911243,-0.024973048328909182,-0.21237093191833759,-0.014224064586733837,0.06080943044022344,-0.4180611478234615,-0.17991927813893344,0.031870177554840826,-0.4179740221467427,0.05465748398920096,0.03151203595728578,0.09507324917129663,0.11459076072695286,-0.04469564283737471,-0.031512035957285724,,-0.3657989370029008,-0.1863970727480661,0.03151203595728578,0.26282408291578396,-0.010596859140763349,0.009328789710486661,0.013211548148197255,0.3482871987310891,0.2907790396366771,-0.06315764480601568,-0.14036454402304205,0.28235919048724506,,0.13141664121806107,0.06604769828107261,0.07603426757301132,0.5225005009678726,-0.2571134484173642,0.2613749658016225,-0.17991927813893344,,-0.04469564283737471,-0.1002252190073045,0.2077683851392076,-0.22735384782044074,0.3010772027477148,-0.04469564283737468,0.31685404194165273,0.3021623565207203,0.16705183133103105,0.15604375676296736,0.18307140806922242,0.0030642938825549693,0.40007084083936706,0.2829949127272954
CBM18,-0.006343557360579475,-0.07234577851709093,-0.006958953193300083,-0.009328789710486562,1.0,-0.014645263102314827,-0.04916651479516642,-0.0056657735317994454,0.013475282442725472,,,-0.07302470083564734,-0.004469660448636452,0.04077973191467153,-0.0663293454075956,0.003457290547282808,0.014607508667184743,-0.01823870311731771,-0.07688824940778194,-0.07088510542700716,0.004469660448636437,0.10544749798784384,0.00199325428265752,0.003994957550911423,0.0019932542826575105,-0.04643171397083279,0.013805782354677778,-0.0019932542826574945,-0.025712690527457237,-0.003994957550911443,-0.00022410286061504053,-0.0019932542826574962,-0.001993254282657494,0.0028208744710860045,0.3133231974494155,-0.0019932542826574962,-0.0056657735317994454,-0.001993254282657494,-0.024648995172281325,-0.007527304920211683,-0.0034572905472827504,-0.009710946894393217,0.012833988434504244,-0.06757406320340083,,0.036726814382656514,-0.001993254282657494,-0.020347765862494257,0.0034572905472827348,,-0.025830178779286762,0.0146075086671848,0.004469660448636517,-0.0688628041242446,0.01944006679729516,0.07019857014131964,-0.012185962557684355,-0.013138518812592504,0.040204303692803825,-0.05719360203657922,-0.05071189016223467,-0.08501579728540899,0.11656181169110463,-0.056722591978368195,-0.0156797969337503,0.06694637844311088,0.004469660448636332,0.003994957550911424,-0.02047578069467454,-0.090384783973029,-0.016560546026291523,-0.018643924114567407,0.007007329942471009,0.004469660448636461,-0.006701032141648708,-0.00345729054728275,-0.001993254282657495,-0.006013739046684339,-0.007248294743049443,-0.0019932542826574967,0.0019932542826574286,,0.06757406320340084,-0.008312594694783605,-0.001993254282657494,-0.01891133527074375,0.0034572905472827257,0.0028208744710860397,0.003994957550911434,-0.02441089328759281,0.012967630159649022,0.0039949575509113915,0.03791290368095738,0.01313851881259258,,-0.0083125946947836,0.00446966044863661,-0.006343557360579483,0.002767660764859315,0.023571737096772735,-0.06512591083862372,0.007007329942471009,,-0.0019932542826574962,-0.004469660448636455,0.009265673277961128,-0.010139109812015221,-0.019044260567640955,-0.0019932542826574945,0.014130475276427136,0.01347528244272551,-0.02583430756670021,0.0069589531933000335,-0.013805782354677797,-0.027579496950179926,-0.06453888303478329,-0.10544749798784381
CBM3,0.09096095006385573,0.4929810067895115,0.0544804127193333,0.9010770608768264,-0.014645263102314827,1.0,0.3670228235461335,-0.14007264650570467,0.28417958204717697,,,0.0797498328278824,0.02917242834191003,0.051689647142420955,0.20883505068332162,0.04045731821378878,0.33831180924621135,-0.45090814169255344,-0.21692747336804857,0.2037662921019785,0.07558310979494888,0.11610103257268152,0.04927842614316281,0.059753268566863776,0.04927842614316302,-0.5708256496165567,0.2813951069132162,0.028581487163034436,0.19758017091617514,-0.09876573316836967,0.5430335754112361,0.02858148716303451,-0.0492784261431628,0.014645263102314955,-0.07558310979494864,0.02858148716303451,-0.14007264650570467,-0.0492784261431628,0.32287849901176174,0.08693273528619976,0.004558571066342385,0.12275386859688033,-0.9134899094071897,0.21816506555175244,,0.42769914125855063,-0.04927842614316281,-0.503049654004225,0.08547320749391964,,-0.49021108246432366,-0.1295754453005341,0.07558310979494874,0.16087259367969692,0.16420806614744154,-0.208626230888063,0.9022143856670631,-0.2997835521261182,0.7029064663893091,0.2669453553714283,0.3600323636212424,0.37644384300230077,-0.04578668970055836,0.2711711518039745,0.20334377862235922,-0.18529859337373716,0.005746084370376231,-0.05728412523765434,-0.07153031166957831,-0.1035254943180172,0.18612351220074624,-0.4609262578749036,-0.10930847779819963,0.04066459708266247,-0.4538901593437392,0.049574460346473406,0.028581487163034457,0.08623164985025776,0.10393407652743294,0.02858148716303449,-0.028581487163034533,,-0.18983349265544266,0.11919518780298585,0.028581487163034467,0.2619378040527515,-0.004558571066342234,-0.040448821901631446,0.02074080396535764,0.3500304197050732,0.3079300751609903,-0.0572841252376544,-0.2289368710563194,0.2997835521261184,,0.11919518780298588,0.07558310979494882,0.06618193263266726,0.6352684442368125,-0.2671705712437931,0.1997553356207731,-0.10930847779819963,,-0.04927842614316282,-0.005746084370376221,-0.08115676851117648,-0.2506651451227129,0.26389373013032663,-0.0492784261431628,0.29062287314411545,0.30866179249617065,0.1335706662511857,0.14939102645669822,0.1620107677538086,-0.011198379906221216,0.23204047812340584,-0.01231623400700304
CBM32,0.052192277820018826,0.14524810142338168,-0.0022600859615433014,0.5126430234091397,-0.04916651479516642,0.3670228235461335,1.0,0.046615740889268724,-0.0626268986458992,,,0.379244222611977,-0.009096873776936451,0.08009727338966628,0.26362794710151105,-0.028445217484692323,-0.0752103805612503,0.08766711440105882,-0.0822985490983947,0.2507968331661368,-0.036774596119530205,0.03566678875395664,-0.016399706879437627,-0.03286892866643906,-0.01639970687943772,-0.33740250174700015,-0.034873665326208586,-0.08588267550021288,0.09427135807624519,-0.06963023046443052,0.3851662967931583,0.01639970687943763,-0.08588267550021284,-0.023209038039954492,-0.19258275336280367,0.01639970687943763,0.046615740889268724,-0.08588267550021284,-0.008005348851700471,-0.2967365834806135,0.028445217484692746,0.07989782536802367,-0.3106556621253918,0.08453966671737224,,0.2386273191728663,0.01639970687943769,-0.38333689430785034,0.08982700258324003,,-0.47944587810149253,0.04472139533793441,0.00909687377693662,0.18998856571473619,-0.0530645163362843,-0.2726188889121558,0.46994360850502165,0.058767300828732646,0.29848632167527694,0.23397589334103264,0.3642385009211554,0.0338840318987306,-0.33038871274316095,0.2872272410002183,0.11489141788361937,-0.2671027255639672,-0.036774596119530475,0.018380650898995907,-0.17415284497769998,0.16862541439679948,-0.07956664705363492,0.07980257055958583,-0.003523815428456961,0.009096873776936687,-0.18440847403246013,0.028445217484692677,0.01639970687943764,0.049478663346235255,0.05963609871355542,0.01639970687943765,-0.016399706879437967,,-0.24581936526611733,-0.3581619660613882,0.016399706879437655,0.1555949774383403,-0.028445217484692583,-0.02320903803995433,0.018380650898995713,0.17053766866309888,-0.10669252557965869,-0.03286892866643916,-0.08496052366423307,-0.10809852974163561,,0.06839273723785308,-0.036774596119530066,0.01964077823227028,0.1307644409295559,-0.1525862202935433,0.08701034922538774,-0.003523815428456961,,0.01639970687943766,-0.10083981356987008,0.3765859307086097,0.00017562227430596283,0.14462391474791159,-0.08588267550021285,-0.00826708524438233,-0.0626268986458992,0.050575657362829665,0.21056467541711946,0.113588509919651,0.020721942454591084,0.2414471058251827,0.4926475196640265
CBM4,-0.012741141004117556,0.07831519195637619,-0.013977173821723126,-0.1270462039781167,-0.0056657735317994454,-0.14007264650570467,0.046615740889268724,1.0,0.02706533005281951,,,0.03469095861604036,-0.008977387730502407,0.04828338077651451,0.03744663325501506,0.006944025859822401,0.029339425352097586,-0.03663274010795036,0.03326213353683367,0.03553092536345631,0.00897738773050251,-0.025348461020848163,0.004003484547995121,0.008023939024802447,0.004003484547995437,0.12202378605619704,0.027729144650950163,-0.004003484547995062,-0.05164436876403442,0.3485398513898594,-0.10712721336695379,-0.004003484547995073,-0.004003484547995064,0.005665773531799661,-0.008977387730502408,-0.004003484547995073,1.0,-0.004003484547995064,-0.049507918861343786,-0.015118717766373897,-0.0069440258598226605,-0.01950459917551043,0.13552366537804303,0.036905174612417393,,0.016757806430399536,-0.004003484547995062,0.2784469592429704,0.006944025859822632,,0.2193470506035691,0.029339425352097506,0.008977387730502218,0.03635912931290156,0.039045699142409206,-0.03580825438474803,-0.13392369354596237,-0.026388934672011918,-0.08550566083146545,0.04189274107768263,0.04563798250792069,0.03058310150306403,-0.023158340386825037,0.042146876012549114,-0.031493134260961946,-0.03717646268951169,0.008977387730502471,0.008023939024802477,-0.04112594781934865,0.029022604010252227,-0.033262133536833716,0.005220924828824185,-0.0935262549102099,0.00897738773050243,0.0940627193078354,-0.006944025859822656,-0.004003484547995072,-0.012078695407078868,-0.014558321161324028,-0.004003484547995073,0.004003484547995479,,-0.03690517461241737,-0.01669598540630875,-0.004003484547995065,-0.03798373303251364,0.0069440258598226995,0.0056657735317994845,0.008023939024802501,-0.04902968724559231,0.02604570195582548,0.00802393902480248,0.07614870083408207,0.02638893467201187,,-0.016695985406308757,0.008977387730502228,-0.012741141004117558,-0.07455677319484857,0.047344228008136965,0.03798373303251369,-0.0935262549102099,,-0.004003484547995074,0.15059567917917777,0.018610259673257315,0.41401173967581434,-0.03825071571344695,-0.004003484547995067,0.028381295812182517,0.02706533005281946,0.06673779886871843,0.013977173821723215,-0.027729144650950176,0.042416671871816775,0.03825071571344694,0.025348461020848076
CBM48,0.030303095015968156,0.30848858162086823,0.03324283329393328,0.2901810149621772,0.013475282442725472,0.28417958204717697,-0.0626268986458992,0.02706533005281951,1.0,,,-0.04238259369909214,0.0213515126553175,0.11019273976167641,0.7227707192927607,-0.016515434163670455,0.830185934402041,0.08712605910473309,-0.0583465588210121,0.7617400834895303,0.26108431056199893,0.06028791476172242,0.14791929528226927,0.05980350024494558,0.14791929528226916,0.22180372309014168,0.9518279522154,0.009521751043619105,-0.19309893541420117,0.019083862786884336,-0.24084583702205012,0.009521751043619058,0.009521751043619167,0.20933694585443383,0.021351512655317505,0.009521751043619058,0.0270653300528195,0.009521751043619167,0.11774794492999538,0.035957842460575117,0.016515434163670458,0.04638907315073714,-0.2737635484252166,0.733374935549359,,0.2786164009519853,0.009521751043619117,-0.061753577815382675,0.07451149366865274,,0.12339044440463076,0.04560034551135169,-0.021351512655317685,0.725066416778483,0.6383308944040939,-0.736282261017772,0.3064122244011532,-0.8990743011526398,-0.1797944005563165,0.6287206920232561,0.5767279689584763,0.7958869136177384,-0.20106239101181353,0.6249016382023406,0.07490219592987432,-0.7090362382235347,0.0492574431490116,0.1386908632767754,-0.07798300957676756,0.024144487653535173,0.07910952344650705,0.08906179479436858,-0.20606680920077014,0.04925744314901161,0.13311184678654597,0.016515434163670496,0.0095217510436191,0.02872755701168056,0.03462501429675812,0.009521751043619105,-0.00952175104361887,,-0.7142784484892749,0.039709161996487295,0.009521751043619152,0.07166735947227483,0.07451149366865283,0.09793083170585415,0.1386908632767754,0.10106100582051865,0.9367203168325802,-0.019083862786884346,0.3554273383047106,0.9243857970195782,,0.03970916199648735,-0.021351512655317578,0.03030309501596818,0.19357125461423563,-0.08077524234305813,0.7125505549876263,-0.20606680920077014,,0.009521751043619084,-0.1904753547576696,-0.009411190771004486,0.048434402110106495,0.09097419707691606,0.009521751043619176,0.9298853436204509,0.900988720233952,0.4055472387703459,0.012562698628521286,0.06595005147480208,0.13174691566083058,0.6890061282492012,0.09711003161129328
CBM5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
