	genome ID	description	path	MD5 hash	genome length
0	1	BX950851.1 Erwinia carotovora subsp. atroseptica SCRI1043, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000011605.1_ASM1160v1_genomic.fna	c6e847fe9e2086b229788c6c5053d77d	5064019
1	2	CP001654.1 Musicola paradisiaca Ech703 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000023545.1_ASM2354v1_genomic.fna	3172e9d2517f483372d79736b81ac69b	4679450
2	3	CP001655.1 Dickeya chrysanthemi Ech1591 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000023565.1_ASM2356v1_genomic.fna	0832140a55134cd9053ab878360b8017	4813854
3	4	CP001790.1 Pectobacterium parmentieri WPP163 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000024645.1_ASM2464v1_genomic.fna	aab11e7d2fde383b868d5bd1b26910be	5063892
4	5	CP001836.1 Dickeya parazeae Ech586 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000025065.1_ASM2506v1_genomic.fna	7e4c25326912cb32febb300d16975a90	4818394
5	6	CP002038.1 Dickeya dadantii 3937, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000147055.1_ASM14705v1_genomic.fna	4e0c74e1343cb0aa9debc7157629db08	4922802
6	7	CM001230.1 Brenneria sp. EniD312 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000225565.1_ASM22556v1_genomic.fna	81ac2983a111588703d9d059f264d7e9	4943773
7	8	CP003415.1 Pectobacterium parmentieri strain SCC3193 chromosome, complete genome	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000260925.1_ASM26092v1_genomic.fna	f8460cffc810445fbc975af42b3bc3e8	5164411
8	9	CM001839.1 Dickeya solani MK10 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000365285.1_DSOMK10_1.0_genomic.fna	1b7cb56249319c41cc4b14c003205626	4935237
9	10	CM001841.1 Dickeya dianthicola NCPPB 453 chromosome, whole genome shotgun sequence	/mnt/storage/eastbio_storage/pectobacteriaceae/data/pectobact/genomes/GCA_000365305.1_DDI453_v1.0_genomic.fna	50bf012d280a2380dcd0d82ba9242733	4676060
